schema_name,routine_name,arguments,return_type,kind,language,security_definer,source_length
public,avg,vector,vector,aggregate,internal,false,15
public,sum,vector,vector,aggregate,internal,false,15
public,array_to_vector,"integer[], integer, boolean",vector,function,c,false,15
public,array_to_vector,"real[], integer, boolean",vector,function,c,false,15
public,array_to_vector,"double precision[], integer, boolean",vector,function,c,false,15
public,array_to_vector,"numeric[], integer, boolean",vector,function,c,false,15
public,l2_norm,halfvec,double precision,function,c,false,15
public,avg,halfvec,halfvec,aggregate,internal,false,15
public,sum,halfvec,halfvec,aggregate,internal,false,15
public,gbt_int2_fetch,internal,internal,function,c,false,14
public,gbt_int2_union,"internal, internal",gbtreekey4,function,c,false,14
public,gbt_int4_fetch,internal,internal,function,c,false,14
public,gtrgm_distance,"internal, text, smallint, oid, internal",double precision,function,c,false,14
public,gbt_int4_union,"internal, internal",gbtreekey8,function,c,false,14
public,gbt_int8_fetch,internal,internal,function,c,false,14
public,gbt_int8_union,"internal, internal",gbtreekey16,function,c,false,14
public,gbt_enum_fetch,internal,internal,function,c,false,14
public,gbt_ts_penalty,"internal, internal, internal",internal,function,c,false,14
public,ivfflathandler,internal,index_am_handler,function,c,false,14
public,vector_combine,"double precision[], double precision[]",double precision[],function,c,false,14
public,gbt_time_fetch,internal,internal,function,c,false,14
public,gbt_time_union,"internal, internal",gbtreekey16,function,c,false,14
public,gbt_date_fetch,internal,internal,function,c,false,14
public,gbt_bytea_same,"gbtreekey_var, gbtreekey_var, internal",internal,function,c,false,14
public,gbt_bool_union,"internal, internal",gbtreekey2,function,c,false,14
public,gbt_text_union,"internal, internal",gbtreekey_var,function,c,false,14
public,gbt_macad_same,"gbtreekey16, gbtreekey16, internal",internal,function,c,false,14
public,gbt_uuid_union,"internal, internal",gbtreekey32,function,c,false,14
public,gbt_cash_union,"internal, internal",gbtreekey16,function,c,false,14
public,gbt_cash_fetch,internal,internal,function,c,false,14
public,gbt_uuid_fetch,internal,internal,function,c,false,14
public,gbt_intv_union,"internal, internal",gbtreekey32,function,c,false,14
public,gbt_intv_fetch,internal,internal,function,c,false,14
public,gbt_enum_union,"internal, internal",gbtreekey8,function,c,false,14
public,gtrgm_compress,internal,internal,function,c,false,14
public,dmetaphone_alt,text,text,function,c,false,14
public,gbt_bool_fetch,internal,internal,function,c,false,14
public,gbt_date_union,"internal, internal",gbtreekey8,function,c,false,14
public,sparsevec_send,sparsevec,bytea,function,c,false,14
public,sparsevec_recv,"internal, oid, integer",sparsevec,function,c,false,14
public,halfvec_combine,"double precision[], double precision[]",double precision[],function,c,false,14
public,gbt_inet_union,"internal, internal",gbtreekey16,function,c,false,14
public,halfvec_concat,"halfvec, halfvec",halfvec,function,c,false,14
public,gbt_decompress,internal,internal,function,c,false,14
public,unaccent,"regdictionary, text",text,function,c,false,13
public,gbtreekey2_out,gbtreekey2,cstring,function,c,false,13
public,gtrgm_options,internal,void,function,c,false,13
public,gbt_enum_same,"gbtreekey8, gbtreekey8, internal",internal,function,c,false,13
public,gbt_uuid_same,"gbtreekey32, gbtreekey32, internal",internal,function,c,false,13
public,gbt_inet_same,"gbtreekey16, gbtreekey16, internal",internal,function,c,false,13
public,gbt_bit_union,"internal, internal",gbtreekey_var,function,c,false,13
public,gbt_text_same,"gbtreekey_var, gbtreekey_var, internal",internal,function,c,false,13
public,gbt_cash_same,"gbtreekey16, gbtreekey16, internal",internal,function,c,false,13
public,gbt_intv_same,"gbtreekey32, gbtreekey32, internal",internal,function,c,false,13
public,gbt_date_same,"gbtreekey8, gbtreekey8, internal",internal,function,c,false,13
public,inner_product,"vector, vector",double precision,function,c,false,13
public,gbt_int8_same,"gbtreekey16, gbtreekey16, internal",internal,function,c,false,13
public,vector_concat,"vector, vector",vector,function,c,false,13
public,gbt_time_same,"gbtreekey16, gbtreekey16, internal",internal,function,c,false,13
public,gbt_int4_same,"gbtreekey8, gbtreekey8, internal",internal,function,c,false,13
public,gbt_int2_same,"gbtreekey4, gbtreekey4, internal",internal,function,c,false,13
public,gbt_oid_union,"internal, internal",gbtreekey8,function,c,false,13
public,gbt_var_fetch,internal,internal,function,c,false,13
public,gbt_oid_fetch,internal,internal,function,c,false,13
public,halfvec_accum,"double precision[], halfvec",double precision[],function,c,false,13
public,interval_dist,"interval, interval",interval,function,c,false,13
public,gbtreekey_var_out,gbtreekey_var,cstring,function,c,false,13
