table_schema,table_name,ordinal_position,column_name,data_type,base_type_name,type_category,is_nullable,column_default,is_enum,is_array
public,asset_maintenance_logs,7,vendor,text,text,S,true,null,false,false
public,asset_maintenance_logs,8,maintenance_date,date,date,D,true,CURRENT_DATE,false,false
public,asset_maintenance_logs,9,next_service_due,date,date,D,true,null,false,false
public,asset_maintenance_logs,10,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,asset_movements,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,asset_movements,2,organization_id,uuid,uuid,U,false,null,false,false
public,asset_movements,3,asset_id,uuid,uuid,U,false,null,false,false
public,asset_movements,4,from_location,text,text,S,true,null,false,false
public,asset_movements,5,to_location,text,text,S,true,null,false,false
public,asset_movements,6,moved_by,uuid,uuid,U,true,null,false,false
public,asset_movements,7,move_date,date,date,D,true,CURRENT_DATE,false,false
public,asset_movements,8,reason,text,text,S,true,null,false,false
public,asset_movements,9,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,asset_payments,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,asset_payments,2,organization_id,uuid,uuid,U,false,null,false,false
public,asset_payments,3,asset_id,uuid,uuid,U,false,null,false,false
public,asset_payments,4,vendor_id,uuid,uuid,U,true,null,false,false
public,asset_payments,5,payment_date,date,date,D,false,CURRENT_DATE,false,false
public,asset_payments,6,amount,"numeric(14,2)",numeric,N,false,null,false,false
public,asset_payments,7,payment_mode,text,text,S,true,null,false,false
public,asset_payments,8,bank_account_id,uuid,uuid,U,true,null,false,false
public,asset_payments,9,reference_number,text,text,S,true,null,false,false
public,asset_payments,10,payment_proof_url,text,text,S,true,null,false,false
public,asset_payments,11,notes,text,text,S,true,null,false,false
public,asset_payments,12,created_at,timestamp with time zone,timestamptz,D,false,now(),false,false
public,asset_payments,13,created_by,uuid,uuid,U,true,null,false,false
public,asset_types,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,asset_types,2,organization_id,uuid,uuid,U,false,null,false,false
public,asset_types,3,category_id,uuid,uuid,U,false,null,false,false
public,asset_types,4,name,text,text,S,false,null,false,false
public,asset_types,5,expected_life_months,integer,int4,N,true,null,false,false
public,asset_types,6,depreciation_method,text,text,S,true,'straight_line'::text,false,false
public,asset_types,7,depreciation_years,"numeric(5,2)",numeric,N,true,null,false,false
public,asset_types,8,maintenance_cycle_months,integer,int4,N,true,null,false,false
