table_schema,table_name,column_name,data_type,total_rows,non_null_rows,min_value,max_value,distinct_days,distinct_months,rows_before_2019,rows_after_today
public,team_members,exit_date,date,20,6,2026-02-11,2026-08-04,6,4,0,0
public,team_members,joining_date,date,20,3,2024-11-05,2026-03-28,3,3,0,0
public,team_payments,created_at,timestamp with time zone,3,3,2026-05-15 08:46:21.431631+00,2026-05-15 08:46:22.138637+00,1,1,0,0
public,team_payments,payment_date,date,3,3,2026-03-27,2026-04-27,2,2,0,0
public,team_salary_bills,created_at,timestamp with time zone,71,71,2026-05-15 08:49:20.115453+00,2026-08-28 09:02:17.380383+00,19,4,0,0
public,tenant_absence_records,created_at,timestamp with time zone,38,38,2026-04-01 08:45:09.489002+00,2026-08-25 09:14:28.99182+00,16,5,0,0
public,tenant_absence_records,from_date,date,38,38,2026-02-07,2026-08-24,22,7,0,0
public,tenant_absence_records,to_date,date,38,38,2026-03-09,2026-09-21,22,7,0,3
public,tenant_adjustments,adjustment_date,date,266,266,2021-12-05,2026-08-25,162,43,0,0
public,tenant_adjustments,created_at,timestamp with time zone,266,266,2026-03-28 04:41:49.875051+00,2026-08-21 11:37:39.118131+00,56,6,0,0
public,tenant_allotments,actual_exit_date,date,1213,1007,2022-11-20,2026-09-20,524,47,0,2
public,tenant_allotments,booking_date,date,1213,1195,2019-11-03,2026-08-28,635,67,0,0
public,tenant_allotments,created_at,timestamp with time zone,1213,1213,2026-03-28 03:59:16.061175+00,2026-08-28 10:32:32.387305+00,73,6,0,0
public,tenant_allotments,estimated_exit_date,date,1213,995,2022-11-02,2026-09-27,518,47,0,8
public,tenant_allotments,expected_payment_date,date,1213,0,null,null,0,0,0,0
public,tenant_allotments,notice_date,date,1213,995,2022-11-02,2026-08-28,516,46,0,0
public,tenant_allotments,onboarding_date,date,1213,1197,2019-11-03,2026-08-31,641,67,0,1
public,tenant_document_history,replaced_at,timestamp with time zone,1,1,2026-07-25 11:43:45.318821+00,2026-07-25 11:43:45.318821+00,1,1,0,0
public,tenant_exits,created_at,timestamp with time zone,147,147,2026-03-28 03:59:17.284368+00,2026-08-28 11:11:37.588262+00,54,6,0,0
public,tenant_exits,exit_date,date,147,147,2023-07-10,2026-09-20,107,31,0,2
public,tenant_exits,refund_date,date,147,101,2023-09-05,2026-08-26,46,18,0,0
public,tenant_notices,actual_exit_date,date,86,0,null,null,0,0,0,0
public,tenant_notices,created_at,timestamp with time zone,86,86,2026-04-01 08:06:45.02274+00,2026-08-27 21:02:27.979925+00,57,5,0,0
public,tenant_notices,exit_date,date,86,86,2026-04-16,2026-09-27,59,6,0,8
public,tenant_notices,notice_date,date,86,86,2026-04-01,2026-08-28,57,5,0,0
public,tenant_remarks,created_at,timestamp with time zone,2,2,2026-08-11 07:29:26.584739+00,2026-08-11 07:34:27.917939+00,1,1,0,0
public,tenant_transactions,created_at,timestamp with time zone,16451,16451,2026-04-17 12:40:11.307989+00,2026-04-28 11:06:50.998129+00,6,1,0,0
